bin_deg,gauquelin_extracted_norm,Sun_residual_sigma30_norm,Moon_residual_sigma30_norm,Mercury_residual_sigma30_norm,Venus_residual_sigma30_norm,Mars_residual_sigma30_norm,Jupiter_residual_sigma30_norm,Saturn_residual_sigma30_norm,Uranus_residual_sigma30_norm,Neptune_residual_sigma30_norm,Pluto_residual_sigma30_norm,Rahu_residual_sigma30_norm
105,+5.392621e-02,-3.521073e-01,-1.420484e-01,-3.309948e-01,+1.139987e-02,-3.217949e-01,+6.230565e-01,+2.797472e-02,+6.403977e-01,+8.250825e-01,+3.424071e-01,+5.600406e-02
106,+5.392621e-02,-3.627734e-01,-1.530171e-01,-3.450664e-01,+5.582537e-03,-3.251104e-01,+6.131131e-01,+1.604492e-02,+6.334771e-01,+8.073391e-01,+3.370725e-01,+5.203776e-02
107,+5.392621e-02,-3.732788e-01,-1.640843e-01,-3.589154e-01,-2.928770e-05,-3.285858e-01,+6.019186e-01,+4.321259e-03,+6.259632e-01,+7.896720e-01,+3.323406e-01,+4.894656e-02
108,+3.500473e-02,-3.836582e-01,-1.752654e-01,-3.725505e-01,-5.459843e-03,-3.322060e-01,+5.896458e-01,-6.213583e-03,+6.171934e-01,+7.716900e-01,+3.281621e-01,+4.673497e-02
109,+3.500473e-02,-3.938772e-01,-1.865653e-01,-3.859243e-01,-1.072491e-02,-3.359718e-01,+5.763635e-01,-1.579720e-02,+6.075791e-01,+7.534012e-01,+3.248632e-01,+4.544083e-02
110,+3.500473e-02,-4.040284e-01,-1.980051e-01,-3.990896e-01,-1.588124e-02,-3.398753e-01,+5.618100e-01,-2.500223e-02,+5.964793e-01,+7.345496e-01,+3.214962e-01,+4.468212e-02
111,+3.500473e-02,-4.140400e-01,-2.095658e-01,-4.120394e-01,-2.090631e-02,-3.438996e-01,+5.463993e-01,-3.339619e-02,+5.844366e-01,+7.161556e-01,+3.187696e-01,+4.471205e-02
112,+3.500473e-02,-4.239320e-01,-2.212561e-01,-4.247186e-01,-2.579424e-02,-3.479341e-01,+5.300055e-01,-4.031826e-02,+5.718560e-01,+6.977346e-01,+3.165959e-01,+4.582697e-02
113,+1.608325e-02,-4.336925e-01,-2.330701e-01,-4.371679e-01,-3.057686e-02,-3.520334e-01,+5.128399e-01,-4.635742e-02,+5.583348e-01,+6.794388e-01,+3.145279e-01,+4.771160e-02
114,+1.608325e-02,-4.433248e-01,-2.450131e-01,-4.493540e-01,-3.527004e-02,-3.561532e-01,+4.948781e-01,-5.130947e-02,+5.441935e-01,+6.609037e-01,+3.129473e-01,+5.064053e-02
115,+1.608325e-02,-4.528627e-01,-2.570810e-01,-4.612905e-01,-3.989018e-02,-3.602470e-01,+4.763369e-01,-5.508200e-02,+5.294485e-01,+6.421540e-01,+3.120136e-01,+5.422805e-02
116,+1.608325e-02,-4.623114e-01,-2.692939e-01,-4.730093e-01,-4.445876e-02,-3.643149e-01,+4.572486e-01,-5.820371e-02,+5.137329e-01,+6.234737e-01,+3.112128e-01,+5.864787e-02
117,+1.608325e-02,-4.716925e-01,-2.816336e-01,-4.844631e-01,-4.899976e-02,-3.683311e-01,+4.377298e-01,-6.034041e-02,+4.973890e-01,+6.055603e-01,+3.115010e-01,+6.379082e-02
